p1(s);p2(s);pdot1(s/s);pdot2(s/s);l1(mJy kpc²);l2(mJy kpc²);x(kpc);y(kpc);z(kpc);vx(km/s);vy(km/s);vz(km/s);seed;S1*A;S2*A;A;porb(days);b1(T);b2(T);m1(Msun);m2(Msun);porb_i;e_form;e;a(AU);ce;type1;type2;ID
0.00421987;28.7773;1.7480999999999997e-21;1.35902e-19;0.0751686;0.0461269;-2.94062;-2.3187;0.0350688;-221.275;168.619;12.0337;3581603652;1249500000000.0;16.8043;125.075;4.85213;10144.0;9019700.0;1.89003;2.35857;23.4924;0.612425;0.60908;0.0908469;1;13;13;0
0.00803965;21.2115;8.54682e-19;2.3326e-15;145.087;0.241658;1.33295;-1.90971;-0.0248375;-197.088;-119.692;-6.76336;3581610822;480491000000.0;5.76417;48.0972;0.442873;230559.0;704914000.0;1.36002;1.53114;3.04467;0.696512;0.653898;0.0161988;0;13;13;1
0.0438004;10.1774;2.3109700000000003e-18;5.39631e-16;0.581645;0.272094;0.517062;-4.37407;-0.100666;-252.324;24.9784;-27.955;3581651635;750618000000.0;8.40362;75.137;1.32381;887440.0;227055000.0;1.34589;1.44794;7.32791;0.642326;0.638367;0.0332321;0;13;13;2
0.0902434;56.2155;1.27033e-19;7.61738e-17;1.26028;0.131744;-1.70344;-0.803607;-0.0753736;-71.8998;209.07;86.9247;3581707249;947133000000.0;11.6418;94.8081;0.425823;301341.0;185538000.0;1.33103;1.27758;3.5512;0.564857;0.455882;0.0152486;0;13;13;3
1.31368;37.7136;6.888940000000001e-18;1.97576e-16;0.0346739;0.0529716;-1.31132;0.495053;0.539131;100.969;189.138;47.5486;4211085394;8.82374;8.81775;87.2363;77.548;8327540.0;348249000.0;1.3;2.1225;483.303;0.951412;0.951344;0.536333;0;13;13;4
0.744676;0.476723;4.41453e-16;2.80812e-16;49.5297;79.6937;-0.359711;-5.95657;0.734019;-222.24;-20.6921;85.9143;2729099511;9.50826;9.52678;105.904;52.8747;52704000.0;39370400.0;1.3;1.58459;301.884;0.492891;0.492891;0.392464;0;13;13;5
0.461735;2.73817;9.77003e-17;5.99225e-16;0.089253;18.2162;-1.99156;-1.01118;0.0142578;-61.6087;248.67;3.76396;2729182410;49.1167;17.4403;100.854;0.346129;21174300.0;113557000.0;1.55364;1.27758;1.69573;0.373774;0.36516;0.0136486;0;13;13;6
0.00852438;30.9743;1.9079499999999998e-20;4.97842e-17;0.333086;8.99376;3.29921;1.21603;0.0327561;167.347;-224.4;-18.1273;2729245870;18.6763;2.7259;23.5773;0.333898;36323.6;125580000.0;1.36002;1.52215;6.31711;0.771088;0.537466;0.0134046;0;13;13;7
0.00433635;43.9839;1.5683999999999998e-21;1.96001e-21;5.16547;0.218284;-1.7172;3.04364;0.0362503;232.154;89.3499;-85.5798;2480712790;1035850000000.0;12.2657;103.689;2.92913;10045.9;1144330.0;1.96558;1.9326;15.944;0.746914;0.712555;0.063055;1;13;13;8
0.0143558;7.85077;8.549889999999999e-20;4.35357e-17;0.501639;287.961;0.499114;-1.34654;-0.00702597;-171.532;-94.9917;-4.46155;2480746751;580184000000.0;7.12306;58.0765;0.514372;103429.0;82725700.0;1.46874;2.39397;3.33648;0.130118;0.117316;0.0197131;1;13;13;9
0.0473794;16.0306;8.274800000000001e-19;2.788e-16;0.308274;58.0708;-42.238;52.424;29.808;90.3604;29.7761;-42.8013;872246104;505.762;499.369;6160.65;12.0708;534368.0;201211000.0;1.34466;1.4813;66.0777;0.837096;0.836896;0.145597;0;13;13;10
0.702607;9.87026;4.1969500000000006e-18;5.90744e-17;0.123321;0.366559;0.947621;-1.34701;-0.111987;-179.223;-130.833;-18.4273;872373606;7.10875;5.89498;51.563;9.21839;4810490.0;68520900.0;1.32018;1.28478;49.2982;0.726886;0.726732;0.118389;0;13;13;11
0.0977394;59.4862;4.7855599999999997e-20;2.70319e-17;2.16025;12.7827;1.16478;-1.08957;-0.00135174;-153.092;-143.814;-22.591;221793223;35.5196;5.94803;47.9074;0.222563;194044.0;114515000.0;1.33073;1.27758;3.64111;0.615401;0.344789;0.00989375;0;13;13;12
0.0506702;10.1893;1.04574e-17;2.1449e-15;0.0346594;335.418;-4.85832;1.77037;-0.00138973;75.6546;233.251;1.20301;221857006;1683020000000.0;44.1641;168.471;0.137602;2576370.0;438164000.0;1.86728;1.38819;0.892634;0.492425;0.384872;0.00773087;0;13;13;13
2.82616;14.4916;1.34635e-15;6.95924e-15;2.07355;9.77414;-0.544335;-1.08793;0.054739;-195.241;93.3204;15.4916;221858543;10.4243;9.48654;74.1923;0.0775325;174005000.0;895384000.0;1.27776;1.27758;0.720594;0.502642;0.369979;0.00486495;0;13;13;14
0.0831336;9.0593;1.7419e-18;1.8978e-16;0.481827;0.195544;1.03724;1.20614;-0.0447554;56.3345;-131.882;3.98348;221914467;33.8102;5.84194;49.9368;1.06877;1056110.0;130561000.0;1.3548;1.51674;6.29753;0.661992;0.647377;0.0290781;0;13;13;15
0.103101;33.0429;2.3321600000000003e-19;7.32294e-17;8.25323;0.330713;-9.45361;-6.07595;-0.18002;-134.764;269.362;9.76864;2418100047;3412370000000.0;73.4485;341.578;0.983819;446938.0;143038000.0;1.30656;1.27758;5.43986;0.339929;0.333104;0.0265658;0;13;13;16
0.388591;7.88751;8.682280000000001e-18;1.77801e-16;4.59464;3.86538;2.75242;-1.46435;-0.0375598;-87.726;-219.661;-7.43511;2418150231;3.86614;3.57248;29.6828;14.4645;5190560.0;106784000.0;1.3;1.27758;78.0665;0.457469;0.457466;0.159299;0;13;13;17
0.0113094;0.264291;2.03559e-20;3.6079e-19;12.9533;2.30117;-3.18641;2.38219;-0.0643793;213.263;171.726;0.701842;1928882727;1306840000000.0;1306840000000.0;130.815;0.654067;43135.3;975282.0;1.34877;1.49501;4.07575;0.411081;0.377998;0.0208923;0;13;13;18
0.0565717;17.8839;6.67521e-18;2.1366e-15;5.10718;29.1584;1.08977;1.80484;0.0578313;202.712;-196.755;26.6771;1928947867;509611000000.0;5.83215;51.0121;0.75594;1724000.0;585772000.0;1.34346;1.39054;4.17869;0.592779;0.58677;0.022709;0;13;13;19
0.175272;37.9547;9.72487e-19;2.09948e-16;2.54352;50.3371;-4.08234;1.41151;0.0567482;181.616;229.592;9.73172;1928982466;1478310000000.0;18.7525;147.979;0.280687;1147880.0;250378000.0;1.31744;1.27758;2.1161;0.352091;0.270755;0.0115293;0;13;13;20
